datahora,Observado
2012-09-15 00:00:00+00:00,160.63375
2012-09-16 00:00:00+00:00,160.8775
2012-09-17 00:00:00+00:00,161.42083333333332
2012-09-18 00:00:00+00:00,158.01624999999999
2012-09-19 00:00:00+00:00,146.44583333333333
2012-09-20 00:00:00+00:00,145.25
2012-09-21 00:00:00+00:00,163.04791666666668
2012-09-22 00:00:00+00:00,173.20416666666665
2012-09-23 00:00:00+00:00,169.47916666666666
2012-09-24 00:00:00+00:00,168.31208333333333
2012-09-25 00:00:00+00:00,168.97833333333332
2012-09-26 00:00:00+00:00,172.89541666666665
2012-09-27 00:00:00+00:00,171.53416666666666
2012-09-28 00:00:00+00:00,174.8758333333333
2012-09-29 00:00:00+00:00,167.20083333333335
2012-09-30 00:00:00+00:00,156.36666666666667
2012-10-01 00:00:00+00:00,150.50666666666666
2012-10-02 00:00:00+00:00,150.10166666666666
2012-10-03 00:00:00+00:00,153.94083333333333
2012-10-04 00:00:00+00:00,154.95541666666665
2012-10-05 00:00:00+00:00,162.3841666666667
2012-10-06 00:00:00+00:00,174.3529166666667
2012-10-07 00:00:00+00:00,174.95916666666668
2012-10-08 00:00:00+00:00,166.15291666666667
2012-10-09 00:00:00+00:00,155.83375
2012-10-10 00:00:00+00:00,145.31375
2012-10-11 00:00:00+00:00,137.30416666666667
2012-10-12 00:00:00+00:00,145.83875
2012-10-13 00:00:00+00:00,192.52833333333334
2012-10-14 00:00:00+00:00,182.465
2012-10-15 00:00:00+00:00,164.96041666666667
2012-10-16 00:00:00+00:00,
2012-10-17 00:00:00+00:00,
2012-10-18 00:00:00+00:00,
2012-10-19 00:00:00+00:00,
2012-10-20 00:00:00+00:00,
2012-10-21 00:00:00+00:00,
2012-10-22 00:00:00+00:00,
2012-10-23 00:00:00+00:00,
2012-10-24 00:00:00+00:00,
2012-10-25 00:00:00+00:00,
2012-10-26 00:00:00+00:00,
2012-10-27 00:00:00+00:00,
2012-10-28 00:00:00+00:00,
2012-10-29 00:00:00+00:00,
2012-10-30 00:00:00+00:00,
2012-10-31 00:00:00+00:00,
2012-11-01 00:00:00+00:00,
2012-11-02 00:00:00+00:00,
2012-11-03 00:00:00+00:00,
2012-11-04 00:00:00+00:00,
2012-11-05 00:00:00+00:00,
2012-11-06 00:00:00+00:00,426.8
2012-11-07 00:00:00+00:00,402.05791666666664
2012-11-08 00:00:00+00:00,352.40333333333336
2012-11-09 00:00:00+00:00,306.81125000000003
2012-11-10 00:00:00+00:00,274.02458333333334
2012-11-11 00:00:00+00:00,259.52125
2012-11-12 00:00:00+00:00,247.15833333333333
2012-11-13 00:00:00+00:00,235.22916666666666
2012-11-14 00:00:00+00:00,230.54333333333332
2012-11-15 00:00:00+00:00,244.24916666666664
2012-11-16 00:00:00+00:00,267.95666666666665
2012-11-17 00:00:00+00:00,292.76625
2012-11-18 00:00:00+00:00,313.4316666666667
2012-11-19 00:00:00+00:00,302.05458333333337
2012-11-20 00:00:00+00:00,277.96666666666664
2012-11-21 00:00:00+00:00,256.1120833333334
2012-11-22 00:00:00+00:00,233.72958333333335
2012-11-23 00:00:00+00:00,213.79458333333332
2012-11-24 00:00:00+00:00,206.83541666666667
2012-11-25 00:00:00+00:00,195.15625
2012-11-26 00:00:00+00:00,173.59708333333333
2012-11-27 00:00:00+00:00,172.9779166666667
2012-11-28 00:00:00+00:00,169.80166666666665
2012-11-29 00:00:00+00:00,171.2125
2012-11-30 00:00:00+00:00,162.95666666666668
2012-12-01 00:00:00+00:00,158.46666666666667
2012-12-02 00:00:00+00:00,157.08791666666667
2012-12-03 00:00:00+00:00,166.50708333333333
2012-12-04 00:00:00+00:00,193.64791666666667
2012-12-05 00:00:00+00:00,192.4575
2012-12-06 00:00:00+00:00,174.60708333333332
2012-12-07 00:00:00+00:00,168.29416666666665
2012-12-08 00:00:00+00:00,172.89374999999998
2012-12-09 00:00:00+00:00,188.5666666666667
2012-12-10 00:00:00+00:00,203.05875
2012-12-11 00:00:00+00:00,205.64291666666668
2012-12-12 00:00:00+00:00,207.39291666666668
2012-12-13 00:00:00+00:00,213.1525
2012-12-14 00:00:00+00:00,220.72875
2012-12-15 00:00:00+00:00,222.4075
2012-12-16 00:00:00+00:00,221.64374999999998
2012-12-17 00:00:00+00:00,220.79166666666666
2012-12-18 00:00:00+00:00,214.16375000000002
2012-12-19 00:00:00+00:00,203.31833333333336
2012-12-20 00:00:00+00:00,199.42875
2012-12-21 00:00:00+00:00,197.27
2012-12-22 00:00:00+00:00,190.94375000000002
2012-12-23 00:00:00+00:00,178.92
2012-12-24 00:00:00+00:00,174.40166666666664
2012-12-25 00:00:00+00:00,177.35833333333335
2012-12-26 00:00:00+00:00,175.63625
2012-12-27 00:00:00+00:00,172.64791666666667
2012-12-28 00:00:00+00:00,177.62250000000003
2012-12-29 00:00:00+00:00,214.54250000000002
2012-12-30 00:00:00+00:00,226.04250000000002
2012-12-31 00:00:00+00:00,247.77875000000003
2013-01-01 00:00:00+00:00,315.4579166666667
2013-01-02 00:00:00+00:00,452.03749999999997
2013-01-03 00:00:00+00:00,550.93875
2013-01-04 00:00:00+00:00,582.64625
2013-01-05 00:00:00+00:00,589.3304166666667
2013-01-06 00:00:00+00:00,578.9333333333333
2013-01-07 00:00:00+00:00,572.5379166666667
2013-01-08 00:00:00+00:00,591.78875
2013-01-09 00:00:00+00:00,651.8745833333334
2013-01-10 00:00:00+00:00,792.0016666666667
2013-01-11 00:00:00+00:00,779.37
2013-01-12 00:00:00+00:00,735.7775
2013-01-13 00:00:00+00:00,686.4291666666667
2013-01-14 00:00:00+00:00,613.6116666666667
2013-01-15 00:00:00+00:00,527.39875
2013-01-16 00:00:00+00:00,456.72375000000005
2013-01-17 00:00:00+00:00,401.91499999999996
2013-01-18 00:00:00+00:00,376.76875
2013-01-19 00:00:00+00:00,365.5708333333334
2013-01-20 00:00:00+00:00,386.7183333333333
2013-01-21 00:00:00+00:00,384.9558333333334
2013-01-22 00:00:00+00:00,350.71125
2013-01-23 00:00:00+00:00,327.2916666666667
2013-01-24 00:00:00+00:00,301.81666666666666
2013-01-25 00:00:00+00:00,276.92625000000004
2013-01-26 00:00:00+00:00,254.89208333333332
2013-01-27 00:00:00+00:00,237.18125
2013-01-28 00:00:00+00:00,218.1833333333333
2013-01-29 00:00:00+00:00,201.57958333333332
2013-01-30 00:00:00+00:00,184.25666666666666
2013-01-31 00:00:00+00:00,172.86458333333334
2013-02-01 00:00:00+00:00,165.31208333333333
2013-02-02 00:00:00+00:00,156.56083333333333
2013-02-03 00:00:00+00:00,148.07291666666666
2013-02-04 00:00:00+00:00,153.53625
2013-02-05 00:00:00+00:00,162.20000000000002
2013-02-06 00:00:00+00:00,159.45416666666668
2013-02-07 00:00:00+00:00,165.0725
2013-02-08 00:00:00+00:00,185.63458333333332
2013-02-09 00:00:00+00:00,239.10791666666668
2013-02-10 00:00:00+00:00,274.9783333333333
2013-02-11 00:00:00+00:00,311.7941666666666
2013-02-12 00:00:00+00:00,319.44958333333335
2013-02-13 00:00:00+00:00,326.4504166666666
